SERNO,END_INSTANCE,END_CLOCK,START_CLOCK,START_INSTANCE,CDC_TYPE,SYNCHRONIZER,NUMBER_OF_SYNCHRONIZER_FFs,SAFE_CDC,DESCRIPTION
66,PF_DDR4_SS_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.LEVELLING.WRLVL.wrlvl_instances\[1\]\.uWrlvl.current_state[16:0],PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,NA,False Path Constraint,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path.
67,PF_DDR4_SS_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.LEVELLING.WRLVL.wrlvl_instances\[0\]\.uWrlvl.dq_in_reg[7:0],PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,NA,False Path Constraint,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
68,PF_DDR4_SS_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.LEVELLING.WRLVL.wrlvl_instances\[0\]\.uWrlvl.current_state[16:0],PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,NA,False Path Constraint,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path.
69,PF_DDR4_SS_0.CCC_0.pll_inst_0,COREDDR_TIP_INT_Z187|VCO_PHSEL_ROTATE_inferred_clock[0],PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_SS_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.VCO_PHSEL_BCLK90_SEL[0],Different Clock Domains,NO,0,NO,No synchronizer circuit detected.
70,PF_DDR3_SS_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_3,PF_DDR3_SS_0/CCC_0/pll_inst_0/OUT2,PF_DDR3_SS_CCC_0_PF_CCC|pll_inst_0_clkint_4_inferred_clock,PF_DDR3_SS_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
71,PF_DDR3_SS_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_3,PF_DDR3_SS_0/CCC_0/pll_inst_0/OUT2,PF_DDR3_SS_CCC_0_PF_CCC|pll_inst_0_clkint_4_inferred_clock,PF_DDR3_SS_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
72,PF_DDR3_SS_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_3,PF_DDR3_SS_0/CCC_0/pll_inst_0/OUT3,PF_DDR3_SS_CCC_0_PF_CCC|pll_inst_0_clkint_4_inferred_clock,PF_DDR3_SS_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
73,PF_DDR3_SS_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_3,PF_DDR3_SS_CCC_0_PF_CCC|pll_inst_0_clkint_4_inferred_clock,PF_DDR3_SS_CCC_0_PF_CCC|pll_inst_0_clkint_4_inferred_clock,NA,False Path Constraint,NO,0,NO,Combinatorial logic detected at clock domain crossing.
74,PF_DDR3_SS_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_0,PF_DDR3_SS_0/CCC_0/pll_inst_0/OUT2,PF_DDR3_SS_CCC_0_PF_CCC|pll_inst_0_clkint_4_inferred_clock,PF_DDR3_SS_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
75,PF_DDR3_SS_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_0,PF_DDR3_SS_0/CCC_0/pll_inst_0/OUT2,PF_DDR3_SS_CCC_0_PF_CCC|pll_inst_0_clkint_4_inferred_clock,PF_DDR3_SS_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
76,PF_DDR3_SS_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_0,PF_DDR3_SS_0/CCC_0/pll_inst_0/OUT3,PF_DDR3_SS_CCC_0_PF_CCC|pll_inst_0_clkint_4_inferred_clock,PF_DDR3_SS_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
77,PF_DDR3_SS_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_0,PF_DDR3_SS_CCC_0_PF_CCC|pll_inst_0_clkint_4_inferred_clock,PF_DDR3_SS_CCC_0_PF_CCC|pll_inst_0_clkint_4_inferred_clock,NA,False Path Constraint,NO,0,NO,Combinatorial logic detected at clock domain crossing.
78,PF_DDR3_SS_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_2,PF_DDR3_SS_0/CCC_0/pll_inst_0/OUT2,PF_DDR3_SS_CCC_0_PF_CCC|pll_inst_0_clkint_4_inferred_clock,PF_DDR3_SS_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
79,PF_DDR3_SS_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_2,PF_DDR3_SS_0/CCC_0/pll_inst_0/OUT2,PF_DDR3_SS_CCC_0_PF_CCC|pll_inst_0_clkint_4_inferred_clock,PF_DDR3_SS_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
80,PF_DDR3_SS_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_2,PF_DDR3_SS_0/CCC_0/pll_inst_0/OUT3,PF_DDR3_SS_CCC_0_PF_CCC|pll_inst_0_clkint_4_inferred_clock,PF_DDR3_SS_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
81,PF_DDR3_SS_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_2,PF_DDR3_SS_CCC_0_PF_CCC|pll_inst_0_clkint_4_inferred_clock,PF_DDR3_SS_CCC_0_PF_CCC|pll_inst_0_clkint_4_inferred_clock,NA,False Path Constraint,NO,0,NO,Combinatorial logic detected at clock domain crossing.
82,PF_DDR3_SS_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_7,PF_DDR3_SS_0/CCC_0/pll_inst_0/OUT2,PF_DDR3_SS_CCC_0_PF_CCC|pll_inst_0_clkint_4_inferred_clock,PF_DDR3_SS_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
83,PF_DDR3_SS_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_7,PF_DDR3_SS_0/CCC_0/pll_inst_0/OUT2,PF_DDR3_SS_CCC_0_PF_CCC|pll_inst_0_clkint_4_inferred_clock,PF_DDR3_SS_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
84,PF_DDR3_SS_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_7,PF_DDR3_SS_0/CCC_0/pll_inst_0/OUT3,PF_DDR3_SS_CCC_0_PF_CCC|pll_inst_0_clkint_4_inferred_clock,PF_DDR3_SS_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
85,PF_DDR3_SS_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_7,PF_DDR3_SS_CCC_0_PF_CCC|pll_inst_0_clkint_4_inferred_clock,PF_DDR3_SS_CCC_0_PF_CCC|pll_inst_0_clkint_4_inferred_clock,NA,False Path Constraint,NO,0,NO,Combinatorial logic detected at clock domain crossing.
86,PF_DDR3_SS_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_4,PF_DDR3_SS_0/CCC_0/pll_inst_0/OUT2,PF_DDR3_SS_CCC_0_PF_CCC|pll_inst_0_clkint_4_inferred_clock,PF_DDR3_SS_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
87,PF_DDR3_SS_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_4,PF_DDR3_SS_0/CCC_0/pll_inst_0/OUT2,PF_DDR3_SS_CCC_0_PF_CCC|pll_inst_0_clkint_4_inferred_clock,PF_DDR3_SS_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
88,PF_DDR3_SS_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_4,PF_DDR3_SS_0/CCC_0/pll_inst_0/OUT3,PF_DDR3_SS_CCC_0_PF_CCC|pll_inst_0_clkint_4_inferred_clock,PF_DDR3_SS_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
89,PF_DDR3_SS_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_4,PF_DDR3_SS_CCC_0_PF_CCC|pll_inst_0_clkint_4_inferred_clock,PF_DDR3_SS_CCC_0_PF_CCC|pll_inst_0_clkint_4_inferred_clock,NA,False Path Constraint,NO,0,NO,Combinatorial logic detected at clock domain crossing.
90,PF_DDR3_SS_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_6,PF_DDR3_SS_0/CCC_0/pll_inst_0/OUT2,PF_DDR3_SS_CCC_0_PF_CCC|pll_inst_0_clkint_4_inferred_clock,PF_DDR3_SS_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
91,PF_DDR3_SS_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_6,PF_DDR3_SS_0/CCC_0/pll_inst_0/OUT2,PF_DDR3_SS_CCC_0_PF_CCC|pll_inst_0_clkint_4_inferred_clock,PF_DDR3_SS_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
92,PF_DDR3_SS_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_6,PF_DDR3_SS_0/CCC_0/pll_inst_0/OUT3,PF_DDR3_SS_CCC_0_PF_CCC|pll_inst_0_clkint_4_inferred_clock,PF_DDR3_SS_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
93,PF_DDR3_SS_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_6,PF_DDR3_SS_CCC_0_PF_CCC|pll_inst_0_clkint_4_inferred_clock,PF_DDR3_SS_CCC_0_PF_CCC|pll_inst_0_clkint_4_inferred_clock,NA,False Path Constraint,NO,0,NO,Combinatorial logic detected at clock domain crossing.
94,PF_DDR3_SS_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_1,PF_DDR3_SS_0/CCC_0/pll_inst_0/OUT2,PF_DDR3_SS_CCC_0_PF_CCC|pll_inst_0_clkint_4_inferred_clock,PF_DDR3_SS_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
95,PF_DDR3_SS_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_1,PF_DDR3_SS_0/CCC_0/pll_inst_0/OUT2,PF_DDR3_SS_CCC_0_PF_CCC|pll_inst_0_clkint_4_inferred_clock,PF_DDR3_SS_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
96,PF_DDR3_SS_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_1,PF_DDR3_SS_0/CCC_0/pll_inst_0/OUT3,PF_DDR3_SS_CCC_0_PF_CCC|pll_inst_0_clkint_4_inferred_clock,PF_DDR3_SS_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
97,PF_DDR3_SS_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_1,PF_DDR3_SS_CCC_0_PF_CCC|pll_inst_0_clkint_4_inferred_clock,PF_DDR3_SS_CCC_0_PF_CCC|pll_inst_0_clkint_4_inferred_clock,NA,False Path Constraint,NO,0,NO,Combinatorial logic detected at clock domain crossing.
98,PF_DDR3_SS_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_5,PF_DDR3_SS_0/CCC_0/pll_inst_0/OUT2,PF_DDR3_SS_CCC_0_PF_CCC|pll_inst_0_clkint_4_inferred_clock,PF_DDR3_SS_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
99,PF_DDR3_SS_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_5,PF_DDR3_SS_0/CCC_0/pll_inst_0/OUT2,PF_DDR3_SS_CCC_0_PF_CCC|pll_inst_0_clkint_4_inferred_clock,PF_DDR3_SS_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
100,PF_DDR3_SS_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_5,PF_DDR3_SS_0/CCC_0/pll_inst_0/OUT3,PF_DDR3_SS_CCC_0_PF_CCC|pll_inst_0_clkint_4_inferred_clock,PF_DDR3_SS_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
101,PF_DDR3_SS_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_5,PF_DDR3_SS_CCC_0_PF_CCC|pll_inst_0_clkint_4_inferred_clock,PF_DDR3_SS_CCC_0_PF_CCC|pll_inst_0_clkint_4_inferred_clock,NA,False Path Constraint,NO,0,NO,Combinatorial logic detected at clock domain crossing.
102,PF_DDR3_SS_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_3,PF_DDR3_SS_0/CCC_0/pll_inst_0/OUT2,PF_DDR3_SS_CCC_0_PF_CCC|pll_inst_0_clkint_4_inferred_clock,PF_DDR3_SS_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
103,PF_DDR3_SS_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_3,PF_DDR3_SS_0/CCC_0/pll_inst_0/OUT2,PF_DDR3_SS_CCC_0_PF_CCC|pll_inst_0_clkint_4_inferred_clock,PF_DDR3_SS_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
104,PF_DDR3_SS_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_3,PF_DDR3_SS_0/CCC_0/pll_inst_0/OUT3,PF_DDR3_SS_CCC_0_PF_CCC|pll_inst_0_clkint_4_inferred_clock,PF_DDR3_SS_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
105,PF_DDR3_SS_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_3,PF_DDR3_SS_CCC_0_PF_CCC|pll_inst_0_clkint_4_inferred_clock,PF_DDR3_SS_CCC_0_PF_CCC|pll_inst_0_clkint_4_inferred_clock,NA,False Path Constraint,NO,0,NO,Combinatorial logic detected at clock domain crossing.
106,PF_DDR3_SS_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_0,PF_DDR3_SS_0/CCC_0/pll_inst_0/OUT2,PF_DDR3_SS_CCC_0_PF_CCC|pll_inst_0_clkint_4_inferred_clock,PF_DDR3_SS_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
107,PF_DDR3_SS_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_0,PF_DDR3_SS_0/CCC_0/pll_inst_0/OUT2,PF_DDR3_SS_CCC_0_PF_CCC|pll_inst_0_clkint_4_inferred_clock,PF_DDR3_SS_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
108,PF_DDR3_SS_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_0,PF_DDR3_SS_0/CCC_0/pll_inst_0/OUT3,PF_DDR3_SS_CCC_0_PF_CCC|pll_inst_0_clkint_4_inferred_clock,PF_DDR3_SS_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
109,PF_DDR3_SS_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_0,PF_DDR3_SS_CCC_0_PF_CCC|pll_inst_0_clkint_4_inferred_clock,PF_DDR3_SS_CCC_0_PF_CCC|pll_inst_0_clkint_4_inferred_clock,NA,False Path Constraint,NO,0,NO,Combinatorial logic detected at clock domain crossing.
110,PF_DDR3_SS_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_2,PF_DDR3_SS_0/CCC_0/pll_inst_0/OUT2,PF_DDR3_SS_CCC_0_PF_CCC|pll_inst_0_clkint_4_inferred_clock,PF_DDR3_SS_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
111,PF_DDR3_SS_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_2,PF_DDR3_SS_0/CCC_0/pll_inst_0/OUT2,PF_DDR3_SS_CCC_0_PF_CCC|pll_inst_0_clkint_4_inferred_clock,PF_DDR3_SS_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
112,PF_DDR3_SS_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_2,PF_DDR3_SS_0/CCC_0/pll_inst_0/OUT3,PF_DDR3_SS_CCC_0_PF_CCC|pll_inst_0_clkint_4_inferred_clock,PF_DDR3_SS_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
113,PF_DDR3_SS_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_2,PF_DDR3_SS_CCC_0_PF_CCC|pll_inst_0_clkint_4_inferred_clock,PF_DDR3_SS_CCC_0_PF_CCC|pll_inst_0_clkint_4_inferred_clock,NA,False Path Constraint,NO,0,NO,Combinatorial logic detected at clock domain crossing.
114,PF_DDR3_SS_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_7,PF_DDR3_SS_0/CCC_0/pll_inst_0/OUT2,PF_DDR3_SS_CCC_0_PF_CCC|pll_inst_0_clkint_4_inferred_clock,PF_DDR3_SS_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
115,PF_DDR3_SS_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_7,PF_DDR3_SS_0/CCC_0/pll_inst_0/OUT2,PF_DDR3_SS_CCC_0_PF_CCC|pll_inst_0_clkint_4_inferred_clock,PF_DDR3_SS_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
116,PF_DDR3_SS_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_7,PF_DDR3_SS_0/CCC_0/pll_inst_0/OUT3,PF_DDR3_SS_CCC_0_PF_CCC|pll_inst_0_clkint_4_inferred_clock,PF_DDR3_SS_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
117,PF_DDR3_SS_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_7,PF_DDR3_SS_CCC_0_PF_CCC|pll_inst_0_clkint_4_inferred_clock,PF_DDR3_SS_CCC_0_PF_CCC|pll_inst_0_clkint_4_inferred_clock,NA,False Path Constraint,NO,0,NO,Combinatorial logic detected at clock domain crossing.
118,PF_DDR3_SS_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_4,PF_DDR3_SS_0/CCC_0/pll_inst_0/OUT2,PF_DDR3_SS_CCC_0_PF_CCC|pll_inst_0_clkint_4_inferred_clock,PF_DDR3_SS_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
119,PF_DDR3_SS_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_4,PF_DDR3_SS_0/CCC_0/pll_inst_0/OUT2,PF_DDR3_SS_CCC_0_PF_CCC|pll_inst_0_clkint_4_inferred_clock,PF_DDR3_SS_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
120,PF_DDR3_SS_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_4,PF_DDR3_SS_0/CCC_0/pll_inst_0/OUT3,PF_DDR3_SS_CCC_0_PF_CCC|pll_inst_0_clkint_4_inferred_clock,PF_DDR3_SS_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
121,PF_DDR3_SS_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_4,PF_DDR3_SS_CCC_0_PF_CCC|pll_inst_0_clkint_4_inferred_clock,PF_DDR3_SS_CCC_0_PF_CCC|pll_inst_0_clkint_4_inferred_clock,NA,False Path Constraint,NO,0,NO,Combinatorial logic detected at clock domain crossing.
122,PF_DDR3_SS_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_6,PF_DDR3_SS_0/CCC_0/pll_inst_0/OUT2,PF_DDR3_SS_CCC_0_PF_CCC|pll_inst_0_clkint_4_inferred_clock,PF_DDR3_SS_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
123,PF_DDR3_SS_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_6,PF_DDR3_SS_0/CCC_0/pll_inst_0/OUT2,PF_DDR3_SS_CCC_0_PF_CCC|pll_inst_0_clkint_4_inferred_clock,PF_DDR3_SS_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
124,PF_DDR3_SS_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_6,PF_DDR3_SS_0/CCC_0/pll_inst_0/OUT3,PF_DDR3_SS_CCC_0_PF_CCC|pll_inst_0_clkint_4_inferred_clock,PF_DDR3_SS_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
125,PF_DDR3_SS_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_6,PF_DDR3_SS_CCC_0_PF_CCC|pll_inst_0_clkint_4_inferred_clock,PF_DDR3_SS_CCC_0_PF_CCC|pll_inst_0_clkint_4_inferred_clock,NA,False Path Constraint,NO,0,NO,Combinatorial logic detected at clock domain crossing.
126,PF_DDR3_SS_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_1,PF_DDR3_SS_0/CCC_0/pll_inst_0/OUT2,PF_DDR3_SS_CCC_0_PF_CCC|pll_inst_0_clkint_4_inferred_clock,PF_DDR3_SS_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
