@W: CL169 :"C:\ALL_OLD_DATA\20211\IOD_2bitERR\hdl\prbscheck_parallel_fab.v":61:0:61:5|Pruning unused register i[7:0]. Make sure that there are no unused intermediate registers.
@W: CL190 :"C:\ALL_OLD_DATA\20211\IOD_2bitERR\component\work\CORERXIODBITALIGN_C0\CORERXIODBITALIGN_C0_0\rtl\vlog\core\CoreRxIODBitAlign.v":1379:0:1379:5|Optimizing register bit valid_early_late_reg[1] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL260 :"C:\ALL_OLD_DATA\20211\IOD_2bitERR\component\work\CORERXIODBITALIGN_C0\CORERXIODBITALIGN_C0_0\rtl\vlog\core\CoreRxIODBitAlign.v":1379:0:1379:5|Pruning register bit 1 of valid_early_late_reg[8:1]. If this is not the intended behavior, drive the input with valid values, or an input from the top level.
@W: CL279 :"C:\ALL_OLD_DATA\20211\IOD_2bitERR\component\work\CORERXIODBITALIGN_C0\CORERXIODBITALIGN_C0_0\rtl\vlog\core\CoreRxIODBitAlign.v":1379:0:1379:5|Pruning register bits 3 to 2 of valid_early_late_reg[8:2]. If this is not the intended behavior, drive the inputs with valid values, or inputs from the top level.
@W: CL190 :"C:\ALL_OLD_DATA\20211\IOD_2bitERR\component\work\CORERXIODBITALIGN_C0\CORERXIODBITALIGN_C0_0\rtl\vlog\core\CoreRxIODBitAlign.v":1379:0:1379:5|Optimizing register bit valid_early_late_reg[4] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL260 :"C:\ALL_OLD_DATA\20211\IOD_2bitERR\component\work\CORERXIODBITALIGN_C0\CORERXIODBITALIGN_C0_0\rtl\vlog\core\CoreRxIODBitAlign.v":1379:0:1379:5|Pruning register bit 4 of valid_early_late_reg[8:4]. If this is not the intended behavior, drive the input with valid values, or an input from the top level.
@W: CL190 :"C:\ALL_OLD_DATA\20211\IOD_2bitERR\component\work\CORERXIODBITALIGN_C0\CORERXIODBITALIGN_C0_0\rtl\vlog\core\CoreRxIODBitAlign.v":1379:0:1379:5|Optimizing register bit valid_early_late_reg[5] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL260 :"C:\ALL_OLD_DATA\20211\IOD_2bitERR\component\work\CORERXIODBITALIGN_C0\CORERXIODBITALIGN_C0_0\rtl\vlog\core\CoreRxIODBitAlign.v":1379:0:1379:5|Pruning register bit 5 of valid_early_late_reg[8:5]. If this is not the intended behavior, drive the input with valid values, or an input from the top level.
@W: CL190 :"C:\ALL_OLD_DATA\20211\IOD_2bitERR\component\work\CORERXIODBITALIGN_C0\CORERXIODBITALIGN_C0_0\rtl\vlog\core\CoreRxIODBitAlign.v":1379:0:1379:5|Optimizing register bit valid_early_late_reg[6] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL260 :"C:\ALL_OLD_DATA\20211\IOD_2bitERR\component\work\CORERXIODBITALIGN_C0\CORERXIODBITALIGN_C0_0\rtl\vlog\core\CoreRxIODBitAlign.v":1379:0:1379:5|Pruning register bit 6 of valid_early_late_reg[8:6]. If this is not the intended behavior, drive the input with valid values, or an input from the top level.
@W: CL260 :"C:\ALL_OLD_DATA\20211\IOD_2bitERR\component\work\CORERXIODBITALIGN_C0\CORERXIODBITALIGN_C0_0\rtl\vlog\core\CoreRxIODBitAlign.v":1379:0:1379:5|Pruning register bit 7 of valid_early_late_reg[8:7]. If this is not the intended behavior, drive the input with valid values, or an input from the top level.

